"","Rec.cv","Mean.age.catch","Percent.attain","Depletion","PSA","Comm.Leng","Comm.Oto","Surv.Len","Surv.Oto","N.indices","N.index.obs.","N.est.pars","n.mort.pars","n.growth.pars","n.SR.pars","n.recdevs","n.for.rec","n.sel.pars","n.ret.pars","n.index.var.pars","n.catchability.pars","n.pos.hauls","OFL.SQ","half","pass1","pass2","even","odd","noSurv"
"Rec.cv",1,-0.292460088126015,-0.144807802521364,-0.118743551166355,-0.448991283848881,-0.208124972444556,-0.230819368898169,-0.171768419708255,0.19683133796136,0.25708336650808,0.341170422652921,-0.215537822689171,-0.219457387181191,-0.319949149796106,-0.181383359467491,-0.0715829028124855,-0.0326527366587477,-0.273911401769442,-0.481283913306385,-0.0593436323748366,-0.189921332559517,-0.044057622834896,-0.440594275793156,-0.13466669466908,0.0781808840505892,0.182591180159945,0.389157733898286,-0.282118091570562,0.348228874134497
"Mean.age.catch",-0.292460088126015,1,-0.170126717216822,0.285567788520377,0.429222129688008,-0.215780341778112,-0.23122744129696,-0.268618491166225,-0.254459508831159,-0.00213381937022643,-0.354771641870619,-0.118756115796382,-0.482193183722689,0.0202092230159147,-0.278961658393094,-0.0465815658224338,0.112378493006729,-0.231899776703555,-0.0846533250488715,-0.365403356445714,-0.387250312368243,-0.287507622387075,-0.00136578626367525,0.147928579911476,-0.326538788434007,0.380430332900527,-0.052009115808928,0.0892245741078085,-0.30592287663997
"Percent.attain",-0.144807802521364,-0.170126717216822,1,-0.789962131388342,0.192116315907902,0.54336028891083,0.538937833476963,0.143366994797425,0.677211680375932,0.183804175329034,0.631227033748991,0.683282909735322,0.255517326051017,0.499062359914142,0.182180488574428,0.71521768240408,0.298409710499812,0.223131494745549,0.729661515777399,0.145808563903854,0.690541754499306,0.305615018537935,-0.164145989262735,0.246165207259892,0.300485778616561,0.086789137938938,-0.0332901955810147,0.106245181183532,-0.0325370467613609
"Depletion",-0.118743551166355,0.285567788520377,-0.789962131388342,1,-0.395018383454995,-0.267429680781379,-0.372825144626363,0.166101480269283,-0.593561022971841,-0.223655103551493,-0.550312745234382,-0.713011233280836,-0.0437941028968442,-0.529080665533682,0.0730624390984857,-0.746714875989267,-0.43289706955553,-0.353541896098627,-0.516510220658715,0.0145410229047116,-0.736045857736984,-0.0193475818527028,0.418091732149433,-0.345992433235742,-0.484318425379725,-0.165633871193195,-0.233347083160863,0.118594806587392,-0.268998529420415
"PSA",-0.448991283848881,0.429222129688008,0.192116315907902,-0.395018383454995,1,-0.177989390947055,-0.0704880114949452,-0.555412546913089,-0.232405451727133,-0.164266869221201,-0.256616980695405,0.17895213713055,-0.0762458220444583,0.19037285368237,0.0668638460773354,0.161809121178631,0.0612160716170898,0.113385088596957,0.220621864839281,-0.227582370699945,0.183730385914394,-0.543545546221466,-0.313888925578102,0.183982492574324,-0.109796030371052,0.0926802442820091,-0.143303571046175,0.0786481051225438,-0.202975854084365
"Comm.Leng",-0.208124972444556,-0.215780341778112,0.54336028891083,-0.267429680781379,-0.177989390947055,1,0.923065817447606,0.438135866664656,0.642001456471671,-0.0672905770089247,0.33872696476101,0.410534276239368,0.543849044573874,0.314741792627515,-0.0201357614764669,0.44412329270414,0.105185979954276,0.169210921480589,0.278708905675191,0.537500208578754,0.353304628251289,0.616662615452679,0.452923283612496,0.284249471989223,0.345955682464854,-0.251308923045686,-0.219498915850738,0.454882436114329,0.262483584508959
"Comm.Oto",-0.230819368898169,-0.23122744129696,0.538937833476963,-0.372825144626363,-0.0704880114949452,0.923065817447606,1,0.411946576419154,0.702851168685058,0.184435363279913,0.401546656097859,0.592123254740137,0.526994040506694,0.382429695309155,-0.167961063498629,0.635163993000828,0.304603624606548,0.263265808394226,0.400549364663363,0.482157654138777,0.508017633061378,0.586199648375644,0.433926317861663,0.457059375006178,0.582471891195949,-0.133532125648002,0.0850889813012692,0.219181014506507,0.425003693099717
"Surv.Len",-0.171768419708255,-0.268618491166225,0.143366994797425,0.166101480269283,-0.555412546913089,0.438135866664656,0.411946576419154,1,0.486364290938298,-0.0949957730663186,0.0102663459178043,0.240785892682834,0.515946133467812,0.281712729935918,0.110710449272812,0.186375226162369,-0.0188409073806506,0.133784524073991,0.360304262549234,0.710395342704445,0.258514555123186,0.950552153415484,0.712040709889142,0.088851252848588,0.359412626084442,0.167332229843068,-0.0624514263329721,-0.275155201158765,-0.0176634867489942
"Surv.Oto",0.19683133796136,-0.254459508831159,0.677211680375932,-0.593561022971841,-0.232405451727133,0.642001456471671,0.702851168685058,0.486364290938298,1,0.410452260867007,0.699500851860571,0.76067974447702,0.232404298211986,0.625177152454135,-0.314969318951092,0.789212480391124,0.533142943427631,0.420696961451187,0.458048548471563,0.341262957036807,0.510770624602072,0.709546793249779,0.196147382331378,0.311594435113107,0.648053414471425,0.311597157461793,0.328151509024523,-0.267502368598945,0.420834123490979
"N.indices",0.25708336650808,-0.00213381937022643,0.183804175329034,-0.223655103551493,-0.164266869221201,-0.0672905770089247,0.184435363279913,-0.0949957730663186,0.410452260867007,1,0.718516527642823,0.506224006548634,-0.346909939753987,0.224461971650997,-0.556293487982489,0.552666647780119,0.732762977200686,0.262519885068216,0.260239059380245,-0.427451819865788,0.180200710952131,0.00268192250246635,-0.124581585955832,0.151765736535763,0.400267483682746,0.235412256078134,0.821962779288567,-0.465429895723285,0.396972251306997
"N.index.obs.",0.341170422652921,-0.354771641870619,0.631227033748991,-0.550312745234382,-0.256616980695405,0.33872696476101,0.401546656097859,0.0102663459178043,0.699500851860571,0.718516527642823,1,0.609399293850099,-0.0536882411820403,0.372774672167617,-0.247287588758909,0.631934186841929,0.575751310540956,0.342345123139225,0.397027114788896,-0.140236509322038,0.390924465374958,0.21423283317203,-0.145680418608669,-0.0747632948022422,0.288263172488246,-0.0530179030819505,0.390142664334609,-0.157596941580665,0.274333723569637
"N.est.pars",-0.215537822689171,-0.118756115796382,0.683282909735322,-0.713011233280836,0.17895213713055,0.410534276239368,0.592123254740137,0.240785892682834,0.76067974447702,0.506224006548634,0.609399293850099,1,-0.0243107432248013,0.875377189755354,-0.436042325927663,0.951338038778768,0.824993964747287,0.65900460630483,0.762995521345397,0.0193198123001926,0.756625560332099,0.378495233580234,0.178068452880654,0.353369426417006,0.625856197742082,0.188223567597443,0.382429535790293,-0.321514731408887,0.285184240769038
"n.mort.pars",-0.219457387181191,-0.482193183722689,0.255517326051017,-0.0437941028968442,-0.0762458220444583,0.543849044573874,0.526994040506694,0.515946133467812,0.232404298211986,-0.346909939753987,-0.0536882411820403,-0.0243107432248013,1,-0.154173697873978,0.623609564462324,-0.0420142110571463,-0.505181485540923,-0.0764014184546836,0.201250904022474,0.837455650893296,0.254995858900877,0.521912457482972,0.348211905493125,0.0159012676417615,0.164257397061421,-0.218177391768551,-0.351214667726173,0.125181734111239,-0.0422693003965851
"n.growth.pars",-0.319949149796106,0.0202092230159147,0.499062359914142,-0.529080665533682,0.19037285368237,0.314741792627515,0.382429695309155,0.281712729935918,0.625177152454135,0.224461971650997,0.372774672167617,0.875377189755354,-0.154173697873978,1,-0.477694632396556,0.735837275138605,0.760375625230996,0.80185270378436,0.613080635918846,-0.0113558487515833,0.523897757989688,0.380682967871539,0.316049036089063,0.171525902689971,0.420963578626124,0.192480093515447,0.121413887698449,-0.269603964121908,0.14336014093834
"n.SR.pars",-0.181383359467491,-0.278961658393094,0.182180488574428,0.0730624390984857,0.0668638460773354,-0.0201357614764669,-0.167961063498629,0.110710449272812,-0.314969318951092,-0.556293487982489,-0.247287588758909,-0.436042325927663,0.623609564462324,-0.477694632396556,1,-0.441035899429701,-0.810092587300983,-0.443386996138653,0.11870138823734,0.411343830721453,0.0490683671513091,-0.00691233366937107,-0.148582068488653,-0.297485477654332,-0.412893873089576,-0.254128736103474,-0.610168982986465,0.265319985053743,-0.58244252882743
"n.recdevs",-0.0715829028124855,-0.0465815658224338,0.71521768240408,-0.746714875989267,0.161809121178631,0.44412329270414,0.635163993000828,0.186375226162369,0.789212480391124,0.552666647780119,0.631934186841929,0.951338038778768,-0.0420142110571463,0.735837275138605,-0.441035899429701,1,0.786107536129424,0.420126480788716,0.723464528300044,0.0461249243777345,0.781739727760077,0.354789260102937,0.0807942014507285,0.459324109547954,0.6433628819051,0.241347136085796,0.456072848589786,-0.288533293592464,0.307402363003985
"n.for.rec",-0.0326527366587477,0.112378493006729,0.298409710499812,-0.43289706955553,0.0612160716170898,0.105185979954276,0.304603624606548,-0.0188409073806506,0.533142943427631,0.732762977200686,0.575751310540956,0.824993964747287,-0.505181485540923,0.760375625230996,-0.810092587300983,0.786107536129424,1,0.636449761519909,0.432716016210322,-0.40509898945422,0.397499205002385,0.0994642599773955,0.0974867539148239,0.275418034602819,0.499801087024616,0.221378393410972,0.615496461909897,-0.370226598339079,0.402345217929193
"n.sel.pars",-0.273911401769442,-0.231899776703555,0.223131494745549,-0.353541896098627,0.113385088596957,0.169210921480589,0.263265808394226,0.133784524073991,0.420696961451187,0.262519885068216,0.342345123139225,0.65900460630483,-0.0764014184546836,0.80185270378436,-0.443386996138653,0.420126480788716,0.636449761519909,1,0.293052958929755,-0.165131069292478,0.226659681552675,0.202503517220907,0.222653431810862,0.0552288033390241,0.42833036078824,0.0580672567341798,0.199940208819456,-0.237012148137832,0.386476076336101
"n.ret.pars",-0.481283913306385,-0.0846533250488715,0.729661515777399,-0.516510220658715,0.220621864839281,0.278708905675191,0.400549364663363,0.360304262549234,0.458048548471563,0.260239059380245,0.397027114788896,0.762995521345397,0.201250904022474,0.613080635918846,0.11870138823734,0.723464528300044,0.432716016210322,0.293052958929755,1,0.195607520560197,0.830716930576905,0.357399003509337,0.227810933493451,0.120649125524892,0.25903339484205,0.0267713920249201,0.0297159980987116,-0.24740427383829,-0.292027357719403
"n.index.var.pars",-0.0593436323748366,-0.365403356445714,0.145808563903854,0.0145410229047116,-0.227582370699945,0.537500208578754,0.482157654138777,0.710395342704445,0.341262957036807,-0.427451819865788,-0.140236509322038,0.0193198123001926,0.837455650893296,-0.0113558487515833,0.411343830721453,0.0461249243777345,-0.40509898945422,-0.165131069292478,0.195607520560197,1,0.307508721106938,0.721711153177822,0.567045879808139,-0.0345511950952473,0.151927047099787,-0.126772041214208,-0.369193678536834,-0.0515212930247593,-0.121918385185492
"n.catchability.pars",-0.189921332559517,-0.387250312368243,0.690541754499306,-0.736045857736984,0.183730385914394,0.353304628251289,0.508017633061378,0.258514555123186,0.510770624602072,0.180200710952131,0.390924465374958,0.756625560332099,0.254995858900877,0.523897757989688,0.0490683671513091,0.781739727760077,0.397499205002385,0.226659681552675,0.830716930576905,0.307508721106938,1,0.308260348145716,0.0768904444405853,0.297781383450396,0.493925514090163,-0.0680565642104367,0.14949820549736,-0.210368009651147,0.0252731898095195
"n.pos.hauls",-0.044057622834896,-0.287507622387075,0.305615018537935,-0.0193475818527028,-0.543545546221466,0.616662615452679,0.586199648375644,0.950552153415484,0.709546793249779,0.00268192250246635,0.21423283317203,0.378495233580234,0.521912457482972,0.380682967871539,-0.00691233366937107,0.354789260102937,0.0994642599773955,0.202503517220907,0.357399003509337,0.721711153177822,0.308260348145716,1,0.657163202819554,0.149637012596609,0.457485821233324,0.19270590437205,-0.00327714865667161,-0.231449891216837,0.132894306020985
"OFL.SQ",-0.440594275793156,-0.00136578626367525,-0.164145989262735,0.418091732149433,-0.313888925578102,0.452923283612496,0.433926317861663,0.712040709889142,0.196147382331378,-0.124581585955832,-0.145680418608669,0.178068452880654,0.348211905493125,0.316049036089063,-0.148582068488653,0.0807942014507285,0.0974867539148239,0.222653431810862,0.227810933493451,0.567045879808139,0.0768904444405853,0.657163202819554,1,-0.151712473299592,0.0440863120656987,-0.262343479549534,-0.256514399895598,-0.050922558406273,-0.125002546787804
"half",-0.13466669466908,0.147928579911476,0.246165207259892,-0.345992433235742,0.183982492574324,0.284249471989223,0.457059375006178,0.088851252848588,0.311594435113107,0.151765736535763,-0.0747632948022422,0.353369426417006,0.0159012676417615,0.171525902689971,-0.297485477654332,0.459324109547954,0.275418034602819,0.0552288033390241,0.120649125524892,-0.0345511950952473,0.297781383450396,0.149637012596609,-0.151712473299592,1,0.772249873752716,0.528575892473278,0.493679471501015,0.0356635275632748,0.603565745652424
"pass1",0.0781808840505892,-0.326538788434007,0.300485778616561,-0.484318425379725,-0.109796030371052,0.345955682464854,0.582471891195949,0.359412626084442,0.648053414471425,0.400267483682746,0.288263172488246,0.625856197742082,0.164257397061421,0.420963578626124,-0.412893873089576,0.6433628819051,0.499801087024616,0.42833036078824,0.25903339484205,0.151927047099787,0.493925514090163,0.457485821233324,0.0440863120656987,0.772249873752716,1,0.452251933719027,0.683495547091448,-0.350026577344439,0.7896040908856
"pass2",0.182591180159945,0.380430332900527,0.086789137938938,-0.165633871193195,0.0926802442820091,-0.251308923045686,-0.133532125648002,0.167332229843068,0.311597157461793,0.235412256078134,-0.0530179030819505,0.188223567597443,-0.218177391768551,0.192480093515447,-0.254128736103474,0.241347136085796,0.221378393410972,0.0580672567341798,0.0267713920249201,-0.126772041214208,-0.0680565642104367,0.19270590437205,-0.262343479549534,0.528575892473278,0.452251933719027,1,0.522776248157168,-0.542600661467772,0.250231049410727
"even",0.389157733898286,-0.052009115808928,-0.0332901955810147,-0.233347083160863,-0.143303571046175,-0.219498915850738,0.0850889813012692,-0.0624514263329721,0.328151509024523,0.821962779288567,0.390142664334609,0.382429535790293,-0.351214667726173,0.121413887698449,-0.610168982986465,0.456072848589786,0.615496461909897,0.199940208819456,0.0297159980987116,-0.369193678536834,0.14949820549736,-0.00327714865667161,-0.256514399895598,0.493679471501015,0.683495547091448,0.522776248157168,1,-0.592849753874329,0.670100939192251
"odd",-0.282118091570562,0.0892245741078085,0.106245181183532,0.118594806587392,0.0786481051225438,0.454882436114329,0.219181014506507,-0.275155201158765,-0.267502368598945,-0.465429895723285,-0.157596941580665,-0.321514731408887,0.125181734111239,-0.269603964121908,0.265319985053743,-0.288533293592464,-0.370226598339079,-0.237012148137832,-0.24740427383829,-0.0515212930247593,-0.210368009651147,-0.231449891216837,-0.050922558406273,0.0356635275632748,-0.350026577344439,-0.542600661467772,-0.592849753874329,1,-0.0853622043613409
"noSurv",0.348228874134497,-0.30592287663997,-0.0325370467613609,-0.268998529420415,-0.202975854084365,0.262483584508959,0.425003693099717,-0.0176634867489942,0.420834123490979,0.396972251306997,0.274333723569637,0.285184240769038,-0.0422693003965851,0.14336014093834,-0.58244252882743,0.307402363003985,0.402345217929193,0.386476076336101,-0.292027357719403,-0.121918385185492,0.0252731898095195,0.132894306020985,-0.125002546787804,0.603565745652424,0.7896040908856,0.250231049410727,0.670100939192251,-0.0853622043613409,1
